site_id,site_name,state,latitude,longitude,parent_company,operator_company,legal_entity_name,primary_commodity,secondary_commodities,commodity_display,commodity_group,status,listing_status,asx_ticker,confidence_tier,hq_state,evidence_url
AU-MINE-0177,Boddington,WA,-32.7509,116.3581,Newmont Corporation,Newmont Boddington Pty Ltd,NEWMONT BODDINGTON PTY LTD,Gold,Copper,Gold-Copper,Precious Metals,Operating mine,ASX-listed,NEM,high,WA,https://operations.newmont.com/australia/boddington
AU-MINE-0027,Cadia East,NSW,-33.465,149.0123,Newmont Corporation,CADIA HOLDINGS PTY LIMITED,CADIA HOLDINGS PTY LIMITED,Gold,Copper,Gold-Copper,Precious Metals,Operating mine,ASX-listed,NEM,review,WA,https://operations.newmont.com/australia/cadia
AU-MINE-0346,Olympic Dam,SA,-30.437444,136.889293,BHP Group Limited,BHP BILLITON OLYMPIC DAM CORPORATION PTY LTD,BHP BILLITON OLYMPIC DAM CORPORATION PTY LTD,Copper,"Uranium, Gold, Silver",Copper-Uranium-Gold-Silver,Base Metals,Operating mine,ASX-listed,BHP,high,VIC,https://www.bhp.com/our-business/mining/copper/olympic-dam
AU-MINE-0093,King of the Hills,WA,-28.6715,121.163,Vault Minerals Limited,KING OF THE HILLS PTY LTD,KING OF THE HILLS PTY LTD,Gold,Silver,Gold,Precious Metals,Operating mine,ASX-listed,VAU,medium,WA,https://www.red5ltd.com.au/operations/koth/
AU-MINE-0050,Cobar,NSW,-31.40802,145.798597,Harmony Gold Mining Company Limited,COBAR MANAGEMENT PTY. LIMITED,COBAR MANAGEMENT PTY. LIMITED,Copper,Silver,Copper,Base Metals,Operating mine,NYSE/JSE-listed (Harmony Gold),,review,QLD,https://www.ga.gov.au/scientific-topics/minerals/mineral-resources/mine-production
AU-MINE-0002,Appin,NSW,-34.2113,150.7932,GM3 (Golden Energy & Resources / M Resources JV),Illawarra Metallurgical Coal,ILLAWARRA COAL HOLDINGS PTY LTD,Coal,,Coal,Bulk & Energy,Operating mine,private (GEAR / M Resources JV),,medium,WA,https://www.south32.net/our-operations/our-operations/illawarra-metallurgical-coal
AU-MINE-0019,Brockman 2,WA,-22.4411,117.369301,Rio Tinto Limited,HAMERSLEY IRON PTY. LIMITED,HAMERSLEY IRON PTY. LIMITED,Iron Ore,,Iron Ore,Bulk & Energy,Operating mine,ASX-listed,RIO,high,VIC,https://www.riotinto.com/operations/australia/western-australia/pilbara-iron-ore
AU-MINE-0030,Cannington,QLD,-21.8658,140.9199,South32 Limited,SOUTH32 CANNINGTON PROPRIETARY LIMITED,SOUTH32 CANNINGTON PROPRIETARY LIMITED,Silver,"Lead, Zinc",Silver-Lead-Zinc,Base Metals,Operating mine,ASX-listed,S32,high,WA,https://www.south32.net/our-operations/our-operations/cannington
AU-MINE-0038,Cataby,WA,-30.7351,115.5387,Iluka Resources Limited,Iluka Resources Limited,ILUKA MIDWEST LIMITED,Mineral Sands,"Titanium, Zirconium",Mineral Sands (Ti-Zr),Battery & Critical,Operating mine,ASX-listed,ILU,medium,WA,https://www.iluka.com/operations-resource-development/operations/
AU-MINE-0270,Telfer,WA,-21.7224,122.2109,Greatland Gold plc,Greatland Gold plc,,Gold,Copper,Gold-Copper,Precious Metals,Operating mine,unknown/private,,high,WA,https://www.greatlandgold.com/operations/telfer/
AU-MINE-0063,Greenbushes,WA,-33.855846,116.06683,Talison Lithium Pty Ltd,Talison Lithium Australia Pty Ltd,Talison Lithium Australia Pty Ltd,Lithium,Tantalum,Lithium,Battery & Critical,Operating mine,private (Albemarle/Tianqi JV),,high,WA,https://talisonlithium.com/operations/
AU-MINE-0249,Saraji,QLD,-22.369379,148.291051,BHP Group Limited,BHP Billiton Minerals Pty Ltd,BHP BILLITON MINERALS PTY LTD,Coal,,Coal,Bulk & Energy,Operating mine,ASX-listed,BHP,high,VIC,https://www.bhp.com/our-business/mining/coal/saraji
AU-MINE-0142,Ernest Henry,QLD,-20.439829,140.70281,Evolution Mining Limited,Evolution Mining (Ernest Henry) Pty Ltd,ERNEST HENRY MINING PTY LTD,Copper,Gold,Copper-Gold,Base Metals,Operating mine,ASX-listed,EVN,high,NSW,https://evolutionmining.com/our-operations/ernest-henry/
AU-MINE-0300,McArthur River,NT,-16.436,136.0985,Glencore plc,MCARTHUR RIVER MINING PTY. LTD.,MCARTHUR RIVER MINING PTY. LTD.,Zinc,"Lead, Silver",Zinc-Lead-Silver,Base Metals,Operating mine,LSE-listed,GLEN,high,QLD,https://www.glencore.com/operations/australia/mcarthur-river-mine
AU-MINE-0217,Pilgangoora,WA,-21.0723,118.8953,Pilbara Minerals Limited,PILGANGOORA OPERATIONS PTY LTD,PILGANGOORA OPERATIONS PTY LTD,Lithium,Tantalum,Lithium,Battery & Critical,Operating mine,ASX-listed,PLS,high,WA,https://www.ga.gov.au/scientific-topics/minerals/mineral-resources/mine-production
