abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
94692102631,692102631,LNE BULK HAULAGE PTY LTD,,Australian Private Company,Bongeen,Toowoomba,Darling Downs - Maranoa,QLD,4356,4621,Road Freight Transport,transport_logistics,ACT,0,95,60,65,85,90,75,90,80
92784638285,,DANIEL PETER WHITLEY,Highlux carpentry,Individual/Sole Trader,Subiaco East,Cambridge,Perth - South West,WA,6008,3010,House Construction,building_construction,ACT,6,80,60,75,85,90,90,85,75
30577488191,,RICHARD G MUNDEY AND PAMELA J MUNDEY,MUNDEYS CIVIL ENGINEERING CONTRACTORS,Family Partnership,Alice River,Charters Towers,Townsville,QLD,4817,3109,Heavy & Civil Engineering,civil_contractors,ACT,26,95,60,65,100,100,100,95,85
36144557948,,SEAN WALSH,HI QUALITY ROOFING & PROPERTY MAINTENANCE,Individual/Sole Trader,Yass River,Hilltops,Sydney - Baulkham Hills and Hawkesbury,NSW,2582,3411,Plumbing Services,roofing,ACT,1,75,65,80,70,90,95,80,75
42675653899,675653899,BULK COMMODITIES TRANSPORT PTY LTD,,Australian Private Company,Amberley,Scenic Rim,Wide Bay,QLD,4306,4621,Road Freight Transport,transport_logistics,ACT,2,95,60,65,85,90,75,90,80
51076647071,076647071,K.J. WATSON INVESTMENTS PTY. LTD.,K J WATSON INVESTMENTS PTY LTD,Australian Private Company,Broken Head,Ballina,Richmond - Tweed,NSW,2481,2291,Structural Steel Fabricating,steel_metal_fabrication,NON,25,75,50,60,80,85,95,85,75
96681643185,681643185,POOL CONSTRUCTION COVERS PTY LTD,,Australian Private Company,Harris Park,Parramatta,Sydney - Parramatta,NSW,2150,3010,House Construction,building_construction,ACT,1,80,60,75,90,95,90,90,75
68050194566,050194566,NORWAY GRANGE PTY. LTD.,KERALTON PLUMBING & DRAINAGE CONTRACTORS,Australian Private Company,Pakenham,Cardinia,Melbourne - South East,VIC,3810,3411,Plumbing Services,plumbing,ACT,26,80,95,85,65,95,90,95,100
30691068443,691068443,CONGRUENT CONSTRUCTION PTY LTD,,Australian Private Company,Herron,Waroona,Western Australia - Wheat Belt,WA,6211,3010,House Construction,building_construction,NON,0,80,60,75,90,95,90,90,75
32677215297,,LUKE BAILLIE,BAILS ELECTRICAL,Individual/Sole Trader,Armadale North,Stonnington,Mornington Peninsula,VIC,3143,3421,Electrical Services,electrical,ACT,4,75,90,80,50,85,90,90,100
