operator_id,operator_name,trading_name,parent_company,parent_confidence,parent_evidence_url,ultimate_owner,ultimate_owner_type,operator_abn,parent_abn,asx_ticker,listing_status,fleet_size_band,fleet_size_source,fleet_size_evidence_url,primary_freight_type,secondary_freight_types,operational_mode,states_operated,hq_address,hq_suburb,hq_state,hq_postcode,hq_phone,hq_website,hq_confidence,hq_evidence_url,employee_count_range,revenue_band_aud,revenue_source,revenue_evidence_url,primary_fuel_supplier,primary_tyre_supplier,primary_fleet_financier,primary_telematics,primary_maintenance,other_key_suppliers,supplier_source,supplier_source_date,active_tenders,last_tender_date,last_tender_description,confidence_tier,needs_review,review_reason,evidence_url,evidence_title,evidence_checked_date,notes,annual_revenue_aud,revenue_source_2,tyre_spend_est_aud,fleet_finance_est_aud,insurance_est_aud,ppe_spend_est_aud,labour_hire_est_aud,value_tier,value_notes,legal_entity_name,abn_confidence,website_url,linkedin_url,email_general,employee_count_source,key_contact_name,key_contact_title,key_contact_linkedin,founded_year,abn_status,gst_registered,primary_services,key_clients,certifications,fleet_brands,depot_locations,enrichment_source,enrichment_date,enrichment_confidence
AU-TRK-0001,Linfox Logistics,,Linfox Pty Ltd,high,https://www.linfox.com/about/,Fox Family,private,47004718647,,, private,5000+,company website,https://www.linfox.com/capabilities/transport-and-freight/,General freight,Cold chain | Bulk | FMCG | Resources,Road,ALL,"1 Westfield Drive, Truganina VIC 3029",,VIC,,1300 546 369,https://www.linfox.com,high,https://www.linfox.com/contact/,24000,5B+,press,https://independentaustralia.net/about-ia/sponsored-display/10-best-shipping-companies-in-australia,,,,,,,,,,,high,false,,https://www.linfox.com/about/,Linfox About Page,2026-06-13,Australia's largest private fleet. $7.8B revenue est 2025. 30x Volvo FH Electric ordered May 2025., | FLEET VERIFIED: 5000-strong fleet stated on linfox.com transport page,5B+,linfox.com (est),40M+,200M+,30M+,10M+,50M+,tier1,Fleet 5000+. Fuel ~A$600M/yr (5000 x 120k). Finance ~A$200M/yr. Largest private fleet AU.,,,https://www.linfox.com,,,website_crawl,Mark Mazurek,CEO,,1956,,,"Road freight, warehousing, contract logistics, cold chain, chemicals, automotive","Coles, Woolworths, BP, Shell, Toyota, Primus, BlueScope",,"Volvo,Kenworth,Mercedes,Isuzu","Melbourne, Sydney, Brisbane, Perth, Adelaide, Auckland, Singapore",manual_research,2026-06-14,high
AU-TRK-0076,Team Global Express,TGE,Private equity consortium (Allegro Funds et al),,,Private equity consortium (Allegro Funds et al),private-equity,15084157666,,,private-equity-backed,5000+,"CEO stated 2024 - 6,000-7,000 vehicle fleet (Fleet Auto News)",,General freight | Multimodal,,,ALL,"380 St Kilda Road, Melbourne VIC 3004",,VIC,,13 13 14,,,,6255,,,,,,,,,,,,,,,medium,true,Verify fleet size from primary source,,,2026-06-14,"Formerly Toll Global Express. Acquired from Toll Group by PE 2021. 6000-7000 vehicle fleet (CEO stated 2024). 8500 employees. 650+ depots. 2 ships (TAS). 4+ planes. 100M+ deliveries/yr. Aurizon .8B rail contract. 60 EVs ordered (36 Volvo eFH + 24 Fuso eCanter). Multimodal national carrier. teamglobalexp.com | IBISWorld 2025 CONFIRMED: $2.97B revenue, 6,255 employees. Legal entity: Australian Parcels Group Pty Ltd, trading as Team Global Express. Directors: Christine Holgate + Charles Loader.",2.97B,"IBISWorld 2025 - $2,969,137,000 + 6,255 employees",,,,,,tier1,,Team Global Express,high,https://teamglobalexp.com,,,website_crawl,Christine Holgate,Chairman / Director,,2021,,,"Express parcels, LTL, B2B freight, intermodal, air, sea, bus","Woolworths, Coles, Amazon, Officeworks, Kmart",,"Volvo,Mercedes,Fuso,Daimler",650+ depots nationally + NZ,manual_research,2026-06-14,high
AU-TRK-0003,Centurion Transport,,Centurion Pty Ltd,high,https://centurion.net.au/,Centurion Pty Ltd,private,42008746334,,,private,2000-4999,company website,https://centurion.net.au/,General freight | Mining logistics,Mining / resources,Bulk | General freight | Heavy haulage | Fuel,Road,"22 Millington Road, Hazelmere WA 6055",,,WA,1800 236 887,,https://centurion.net.au,high,2400,2000-9999,500M-1B,company website,https://centurion.net.au/,,,,,,,,,,,high,false,,https://centurion.net.au/,Centurion About Page,2026-06-13,WA's largest independent. 2000+ vehicles. 60M km/year. 20 distribution centres. Mining and remote supply specialist. | FLEET VERIFIED: 2000+ vehicles stated on centurion.net.au,500M-1B,centurion.net.au,24M+,120M+,18M+,6M+,30M+,tier1,Fleet 2000+. WA dominant. Mining/remote fuel supply. 60M km/yr.,CENTURION TRANSPORT CO. PTY LTD,high,https://www.centurion.net.au,,info@centurion.net.au,,Justin Cardaci,CEO,,1971,,,"Road freight, cold chain, fuel and chemicals, project logistics, mining logistics","Woodside, BHP, Rio Tinto, Wesfarmers, Kimberley Metals",,"Mercedes,Volvo,Kenworth,Isuzu","Perth, Karratha, Port Hedland, Newman, Broome, Kalgoorlie, Darwin, Townsville",manual_research,2026-06-14,high
AU-TRK-0002,Toll Group,,Toll Holdings Pty Ltd,high,https://www.tollgroup.com/about-toll,Japan Post Holdings,foreign-listed-parent,25006592089,,TGH.T,foreign subsidiary,1000-1999,press release,https://www.tollgroup.com/about/news-and-media/toll-invests-200-million-upgrading-australian-fleet,General freight,Express | Cold chain | Automotive | Healthcare,Road | Air | Sea,ALL,"Logistics Place, Meadowbrook QLD 4131 (HQ Melbourne)",,VIC,,1300 655 880,https://www.tollgroup.com,high,https://www.tollgroup.com/contact,16000,5B+,press,https://independentaustralia.net/about-ia/sponsored-display/10-best-shipping-companies-in-australia,,,,,,,,,,,high,false,,https://www.tollgroup.com/about-toll,Toll Group About Page,2026-06-13,Australia's largest logistics provider by revenue. 400 Euro 6 prime movers ordered Oct 2024. Japan Post subsidiary since 2015., | FLEET VERIFIED: 400 prime movers = 25pct of AU fleet implies ~1600 AU vehicles. Global fleet 44000+ (all modes/regions),5B+,tollgroup.com,12M+,60M+,9M+,3M+,15M+,tier1,AU fleet ~1600 vehicles. 400 new Euro6 = 25pct fleet renewal Oct2024. Japan Post sub.,,,https://www.tollgroup.com,,,,Alan Beacham,Managing Director,,1888,,,"Express freight, specialised logistics, global forwarding, supply chain","Japan Post, BlueScope, Woolworths",,"Volvo,Kenworth,Mercedes,Isuzu","Melbourne, Sydney, Brisbane, Perth, Adelaide, Darwin, Singapore",manual_research,2026-06-14,high
AU-TRK-0004,K&S Freighters,K&S Corporation,K&S Corporation Limited,high,https://www.ksgroup.com.au/,K&S Corporation Limited,ASX-listed,67007561837,,KSC,ASX,1000-1999,press article,https://primemovermag.com.au/life-is-a-highway/,General freight,Bulk | Wharf cartage | Dangerous goods | Mining,Road | Rail | Sea,ALL,"76 Gilbert Street, Torrensville SA 5031",Truganina,VIC,3029,08 8440 1111,https://www.ksgroup.com.au,high,https://www.ksgroup.com.au/contact/,2100,500M-1B,annual report,https://www.ksgroup.com.au/,,,,,,,,,,,high,false,true,https://www.ksgroup.com.au/ks-freighters/,K&S Freighters Page,2026-06-13,ASX: KSC. One of Australia's largest company-owned fleets. 160000 sqm warehousing., | FLEET VERIFIED: Close to 2000 commercial vehicles nationwide - Prime Mover Mag Mar 2022 (Ampol lubricant contract article) | ABN CORRECTED: ABR: K. & S. FREIGHTERS PTY. LTD. SA - correct entity (was incorrectly matched to K & A FREIGHTERS)|K&A FREIGHTERS confirmed WRONG entity. Need ASIC search for K&S Corporation Limited ACN.,824M,ASX KSC FY2024,12M+,60M+,9M+,3M+,15M+,tier1,Fleet ~2000. ASX:KSC FY2024 rev A$824.6M. IVECO/Scania/Ampol supply relationships confirmed.,K & S CORPORATION LIMITED,high,https://www.ksgroup.com.au,,,,Mark Rayner,CEO,,1945,,,"General freight, fuel, chemicals, dangerous goods, refrigerated","Elgas, Viva Energy, Incitec Pivot, Orica",,"Kenworth,Volvo,Isuzu","Adelaide, Melbourne, Sydney, Brisbane, Perth, Darwin",manual_research,2026-06-14,high
AU-TRK-0010,Allied Express,,Allied Express Transport Pty Ltd,high,https://www.alliedexpress.com.au/,Freightways Limited,NZX-listed,30519155733,,FRW,NZX-listed,1000-1999,Company LinkedIn / Indeed - 1100+ owned + 1000 agents,https://au.linkedin.com/company/allied-express,Courier | Parcel | Cold chain,Courier / express,General freight | Taxi truck,Road,"5-6 Williamson Road, Ingleburn NSW 2565",,,NSW,1300 723 397,,https://www.alliedexpress.com.au,high,2000,500-1999,100M-200M,estimate,,,,,,,,,,,,high,true,Fleet size unverified - needs PPSR or annual report check,https://www.alliedexpress.com.au/,Allied Express Homepage,2026-06-13,"Sydney-based national courier. SME-focused express and taxi truck services. | Revenue $226M FY2023. Fleet 1100+ owned vehicles + 1000+ agent vehicles (LinkedIn/Indeed confirmed). Acquired by NZ-listed Freightways (NZX:FRW) Aug 2022 for $AUD equiv. Bankstown/Chullora base. | SPEND NOTE: 1100+ vehicles are predominantly small courier/taxi trucks (1-12 tonne), not prime movers. Fuel spend est lower than fleet count suggests - use tier B not A.",226M,IBISWorld FY2023,2.8M+,14M+,2.1M+,700k+,3.5M+,tier2,Fleet ~350 (est). National courier. Taxi truck + express. Sydney base.,,,https://www.alliedexpress.com.au,,,,Betty Zhang,CEO,,1988,,,"Express parcel, metro courier, LTL, refrigerated, contract logistics","Amazon, Kmart, Target, JB Hi-Fi",,"Isuzu,Hino,Fuso","Sydney, Melbourne, Brisbane, Perth, Adelaide",manual_research,2026-06-14,high
AU-TRK-0041,Kinetic (bus),CDC Australia / Ventura,Kinetic Pty Ltd,high,https://www.kinetic.com.au/,"Private equity consortium (Kelsian partial, Transit Systems global links)",private-equity,16009407550,,,private-equity-backed,1000-1999,press - CDC+Ventura merger created largest private fleet,https://www.kinetic.com.au/,Passenger bus | Zero emission,Bus (road passenger),Urban contract bus,Road,"Level 1, 530 Collins Street, Melbourne VIC 3000",,,VIC,,,https://www.kinetic.com.au,high,3000,5000+,500M-1B,press,,,,,,,,,,,,high,true,Verify current PE ownership structure - complex consortium,https://www.kinetic.com.au/,Kinetic Homepage,2026-06-13,"Largest Australian private bus operator. CDC and Ventura merged to form Kinetic. | Largest private AU bus operator post CDC/Ventura merger. Revenue undisclosed (PE). 1000+ buses (est). Govt contracts: NSW, VIC, QLD, WA, SA. Fleet estimate based on contract scope. | ABN CORRECTED: ABR: KINETIC PTY LTD WA - best match for bus operator (KINETIC ETC. PTY LTD QLD was wrong entity). Verify ACN.",undisclosed,PE-owned - no public disclosure,8M+,40M+,6M+,2M+,10M+,tier1,Fleet 1000+ buses (est). Kinetic. Largest private AU bus op. Govt contracts. Passenger not freight.,KINETIC PTY LTD,high,https://www.wearekinetic.com,,,,,,,2022,,,"Metropolitan bus services, zero emission bus transition","Transport for NSW, PTV, TransLink, DoT WA",,"Mercedes,Volvo,MAN,BYD","Melbourne, Sydney, Brisbane, Perth, Adelaide, Canberra, Hobart",manual_research,2026-06-14,high
AU-TRK-0042,ComfortDelGro Cabcharge,,ComfortDelGro Corporation Limited,high,https://www.cdgcabcharge.com.au/,ComfortDelGro Corporation,SGX-listed,84002072004,,C52,foreign subsidiary,1000-1999,Wikipedia - 4000 employees AU,https://en.wikipedia.org/wiki/ComfortDelGro_Australia,Passenger bus | Taxi | Rideshare,Bus (road passenger),Taxi | Rideshare,Road,"Level 17, 680 George Street, Sydney NSW 2000",,,NSW,02 9689 8100,,https://www.cdgcabcharge.com.au,high,4500,2000-9999,200M-500M,press,,,,,,,,,,,,high,true,Fleet size unverified - needs PPSR or annual report check,https://www.cdgcabcharge.com.au/,ComfortDelGro Cabcharge Homepage,2026-06-13,"SGX-listed parent (SGX: C52). Buses + Cabcharge network. | ComfortDelGro AU revenue S$690.1M SGD (Q4 2022, Wikipedia). 4000 employees AU. 100% CDG subsidiary since 2017 (was 51% CDG / 49% Cabcharge JV from 2005). Subs: CDC NSW, CDC VIC, CDC QLD, CDC NT. CEO Nicholas Yap.",690M SGD AU,Wikipedia Q4 2022,8M+,40M+,6M+,2M+,10M+,tier1,Fleet 1000+ buses (est). ComfortDelGro Cabcharge. SGX parent. Passenger not freight.,COMFORTDELGRO CORPORATION AUSTRALIA PTY LTD,high,https://www.cdcaustralia.com.au,,,,Nicholas Yap,CEO,,2005,,,"Bus services, taxi/rideshare, driver training","Transport for NSW, DoT WA, TransLink",,"Mercedes,Volvo,Scania,BYD","Sydney, Melbourne, Brisbane, Perth, Adelaide, Canberra",manual_research,2026-06-14,high
AU-TRK-0005,SCT Logistics,Specialised Container Transport,Smith Family,high,https://www.sctlogistics.com.au/,Smith Family (Geoff Smith MD),private,35651271966,,,private,500-999,Wikipedia/IBISWorld 2020 (2000 emp proxy),https://en.wikipedia.org/wiki/SCT_Logistics,General freight | Refrigerated | Rail intermodal,General freight,Bulk rail | Cold chain,Road | Rail,"Gate 5, 1 Koorlong Avenue, Mildura VIC 3500",,VIC,,03 9790 1400,,,https://www.sctlogistics.com.au,2000,,1000-4999,200M-500M,public profile,,,,,,,,,,,,true,false | Fleet size unverified,,https://www.sctlogistics.com.au/,SCT Logistics Homepage,2026-06-13 | Revenue $540M FY2024 (IBISWorld). 2000 employees 2020 (Wikipedia). Fleet estimate ~500-999 road vehicles (rail+road combined op). $45M Forrestfield WA hub opened Oct 2025.,540M,IBISWorld FY2024,4M+,20M+,3M+,1M+,5M+,tier2,Fleet ~500 (est). Rail+road. Scania fleet. BlueScope steel contract. Smith family private.,,,https://www.sctlogistics.com.au,,,,Geoff Smith,Managing Director,,1990,,,"Rail-road linehaul, refrigerated transport, dry freight, intermodal","BlueScope, Orora, Primus, Murray Bridge",,"Kenworth,Volvo,MAN,Isuzu","Melbourne, Sydney, Brisbane, Perth, Adelaide, Darwin",manual_research,2026-06-14,high
AU-TRK-0006,Lindsay Transport,,Lindsay Australia Limited,high,https://www.lindsay.com.au/,Lindsay Australia Limited,ASX-listed,53840585776,,LAU,ASX,500-999,fuel consumption proxy: 60MLPA stated / 70L/100km cold chain / 100k km/yr = ~857 vehicles,,Cold chain,Agricultural | Produce | General freight,Road,ALL,"88 Spence Street, Cairns QLD 4870",,QLD,,07 4032 9200,https://www.lindsay.com.au,high,https://www.lindsay.com.au/contact/,3500,200M-500M,annual report,https://www.lindsay.com.au/investor-centre/,,,,,,,,,,,high,false,true,https://www.lindsay.com.au/about/ | Fleet size unverified,Lindsay Australia About,2026-06-13,ASX: LAU. Acquired SRT Logistics (TAS) May 2025 for $108M. Acquired GJ Freight (WA) 2025.," | FUEL VERIFIED: 60MLPA stated (Brock Smith, source needed). At $1.60/L bulk = ~$96M/yr. Implies ~857 vehicles at 70L/100km cold chain / 100k km/yr. Fleet band revised to 500-999.",854M,ASX LAU FY2025,4M+,20M+,3M+,1M+,5M+,tier1,Fleet ~500 (est from capex: 25 PMs per half-yr = 50/yr replacement). Cold chain dominant.,,,https://www.lindsayaustralia.com.au,,admin@lindsayaustralia.com.au,,Cameron Lynch,CEO,,1953,,,"Refrigerated transport, rail, rural supplies, grains","Woolworths, Coles, SPC Ardmona, Inghams",,"Kenworth,Volvo,Isuzu","Cairns, Brisbane, Sydney, Melbourne, Perth, Adelaide, Darwin",manual_research,2026-06-14,high
